2025-06-20 12:47:50,990 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 12:54:21,517 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.117', 56462)
2025-06-20 12:54:21,523 - INFO - Reçu de 'invité' @ ('10.0.108.117', 56462) - Type: login - Contenu: None
2025-06-20 12:54:21,527 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.117', 56462): Bienvenue TEST sur ClassCord !
2025-06-20 12:54:21,527 - INFO - [SYSTEM EVENT] Utilisateur connecté : TEST @ ('10.0.108.117', 56462)
2025-06-20 12:54:21,665 - INFO - Reçu de 'TEST' @ ('10.0.108.117', 56462) - Type: users - Contenu: None
2025-06-20 12:54:31,862 - INFO - Reçu de 'TEST' @ ('10.0.108.117', 56462) - Type: message - Contenu: CXVGF
2025-06-20 14:14:35,603 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 15:00:10,052 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 15:23:01,982 - INFO - [SYSTEM EVENT] Serveur démarré sur 0.0.0.0:12345
2025-06-20 15:39:01,870 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.73', 61357)
2025-06-20 15:39:01,963 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61357) - Type: login - Contenu: None
2025-06-20 15:39:01,964 - INFO - [SYSTEM EVENT] Échec de login pour Rudy @ ('10.0.108.73', 61357)
2025-06-20 15:39:07,698 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61357) - Type: register - Contenu: None
2025-06-20 15:39:07,705 - INFO - [SYSTEM EVENT] Nouvel utilisateur enregistré: Rudy @ 10.0.108.73
2025-06-20 15:39:09,546 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61357) - Type: login - Contenu: None
2025-06-20 15:39:09,550 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.73', 61357): Bienvenue Rudy sur ClassCord !
2025-06-20 15:39:09,550 - INFO - [SYSTEM EVENT] Utilisateur connecté : Rudy @ ('10.0.108.73', 61357)
2025-06-20 15:39:09,749 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:09,953 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:12,206 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: message - Contenu: bite
2025-06-20 15:39:12,718 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:12,977 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:15,790 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:16,097 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:18,758 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:19,066 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:21,830 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:21,933 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:24,801 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:25,107 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:27,771 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:27,978 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:30,844 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:31,050 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:33,814 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:33,864 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:36,782 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:37,088 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:39,856 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:39,909 - INFO - Reçu de 'Rudy' @ ('10.0.108.73', 61357) - Type: users - Contenu: None
2025-06-20 15:39:42,824 - ERROR - Erreur avec 'Rudy' @ ('10.0.108.73', 61357) - [Errno 104] Connection reset by peer
2025-06-20 15:39:52,924 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.73', 61470)
2025-06-20 15:39:52,961 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61470) - Type: login - Contenu: None
2025-06-20 15:39:52,962 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.73', 61470): Bienvenue Rudy sur ClassCord !
2025-06-20 15:39:52,962 - ERROR - Erreur avec 'Rudy' @ ('10.0.108.73', 61470) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:41:22,058 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.73', 61642)
2025-06-20 15:41:22,058 - INFO - Reçu de 'invité' @ ('10.0.108.73', 61642) - Type: login - Contenu: None
2025-06-20 15:41:22,059 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.73', 61642): Bienvenue Rudy sur ClassCord !
2025-06-20 15:41:22,059 - ERROR - Erreur avec 'Rudy' @ ('10.0.108.73', 61642) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:42:15,005 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 52212)
2025-06-20 15:42:15,102 - INFO - Reçu de 'invité' @ ('10.0.108.141', 52212) - Type: login - Contenu: None
2025-06-20 15:42:15,103 - INFO - [SYSTEM EVENT] Message système envoyé à ('10.0.108.141', 52212): Bienvenue Yanis sur ClassCord !
2025-06-20 15:42:15,103 - ERROR - Erreur avec 'Yanis' @ ('10.0.108.141', 52212) - [Errno 107] Transport endpoint is not connected
2025-06-20 15:42:37,845 - INFO - [SYSTEM EVENT] Connexion client depuis ('10.0.108.141', 52232)
2025-06-20 15:42:37,938 - INFO - Reçu de 'invité' @ ('10.0.108.141', 52232) - Type: login - Contenu: None
